program_name,program_url,program_type,faculty,college,campus,language,seed_source,fetched_at_utc
Accounting,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-commerce-accounting.html,General / Major,Business,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Adapted Physical Activity,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-kinesiology-adapted-physical-activity.html,General / Major,"Kinesiology, Sport, and Recreation",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Agricultural and Resource Economics,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-agriculture-agricultural-and-resource-economics.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Agricultural Business Management,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-agricultural-agricultural-business-management.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Ancient and Medieval Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-ancient-and-medieval-studies.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Animal Science,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-agriculture-animal-science.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Anthropology,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-anthropology.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Applied Mathematics,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-applied-mathematics.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Art,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-art.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Art and Design,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-art-and-design.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Art and Design,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-fine-arts-in-art-and-design-art-and-design.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Astrophysics,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-astrophysics.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Bachelor of Music,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-music-performance-based-pedagogy.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Biochemistry,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-biochemistry.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Biological Sciences,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-biological-sciences.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Biological Sciences,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-biological-sciences.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Bioprocessing + Biomanufacturing,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-chemical-engineering-bioprocessing-biomanufacturing.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Business and Marketing Route,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-design-business-and-marketing-route.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Business Economics and Law,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-commerce-business-economics-and-law.html,General / Major,Business,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Business Minor,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-business-minor.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Business Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-commerce-business-studies.html,General / Major,Business,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Business Technology Management,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-commerce-business-technology-management.html,General / Major,Business,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Business Technology Management,https://www.ualberta.ca/en/undergraduate-programs/bilingual-bachelor-of-commerce-business-technology-management.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Career and Technology Studies: Communication Arts,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-career-and-technology-studies-communication-arts.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Career and Technology Studies: Computer Science,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-career-and-technology-studies-computer-science.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Career and Technology Studies: Design,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-career-and-technology-studies-design.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Career and Technology Studies: Health,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-career-and-technology-studies-health.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Career and Technology Studies: Human Sciences,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-career-and-technology-studies-human-sciences.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Career and Technology Studies: Media,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-career-and-technology-studies-media.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Career and Technology Studies: Natural Resources,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-career-and-technology-studies-natural-resources.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Career and Technology Studies: Recreation,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-career-and-technology-studies-recreation.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
"Career and Technology Studies: Trades, Manufacturing, and Transportation",https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-career-and-technology-studies-trades-manufacturing-and-transportation.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Cell Biology,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-cell-biology.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Chemical and Physical Sciences,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-chemical-and-physical-sciences.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Chemical Engineering,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-chemical-engineering-chemical-engineering.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Chemical Engineering - Computer Process Control,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-chemical-engineering-computer-process-control-chemical-engineering-computer-process-control.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Chemistry,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-chemistry.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Chemistry,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-chemistry.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Chimie,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-es-sciences-chimie.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Civil Engineering,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-civil-engineering-civil-engineering.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Classics,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-classics.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Clean Energy + Sustainable Process Systems,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-chemical-engineering-clean-energy-and-sustainable-process-systems.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
"Clothing, Textiles and Material Culture",https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-human-ecology-clothing-textiles-and-material-culture.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Commerce International,https://www.ualberta.ca/en/undergraduate-programs/bilingual-bachelor-of-commerce-affaires-internationales.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Companion and Performance Animals,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-animal-health-companion-and-performance-animals.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Composition + Sonic Arts,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-music-composition-and-sonic-arts.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Comptabilite,https://www.ualberta.ca/en/undergraduate-programs/bilingual-bachelor-of-commerce-comptabilite.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Computer Engineering,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-computer-engineering-computer-engineering.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Computing Science,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-computing-science.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Computing Science - Artificial Intelligence Option,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-computing-science-artificial-intelligence-option.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Computing Science - Software Practice Option,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-computing-science-software-practice-option.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Computing Science and Mathematics,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-computing-science-and-mathematics.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Conservation Biology,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-environmental-and-conservation-sciences-conservation-biology.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Creativity and Culture (Interdisciplinary),https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-creativity-and-culture-interdisciplinary.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Criminology,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-in-criminology-criminology.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Crop Science,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-agriculture-crop-science.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Degré de Généraliste,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-en-education-elementaire-degre-de-generaliste.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Dental Surgery,https://www.ualberta.ca/en/undergraduate-programs/doctor-of-dental-surgery-dental-surgery.html,General / Major,Medicine and Dentistry,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Drama,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-drama-drama.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Drama,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-drama.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Drama,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-drama.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Drama - Acting,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-fine-arts-in-drama-acting-drama-acting.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Earth Sciences,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-earth-sciences.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
East Asian Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-east-asian-studies.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
"Ecology, Evolution and Environmental Biology",https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-ecology-evolution-and-environmental-biology.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Economics,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-economics.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Education - Kinesiology - Elementary,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-kinesiology-education-kinesiology-elementary.html,General / Major,"Kinesiology, Sport, and Recreation",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Education - Kinesiology - Secondary,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-kinesiology-education-kinesiology-secondary.html,General / Major,"Kinesiology, Sport, and Recreation",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Education - Music - Elementary,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-music-education-music-elementary.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Education - Music - Secondary,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-music-education-music-secondary.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Electrical Engineering,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-electrical-engineering-electrical-engineering.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Elementary Education,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-elementary-education-combined-degree.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Elementary Education - Native Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-in-native-studies-elementary-education-native-studies.html,General / Major,Native Studies,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Engineering Physics,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-engineering-physics-engineering-physics.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Engineering Route,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-design-engineering-route.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
English,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-english.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
English Language Arts,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-english-language-arts.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Entrepreneuriat et innovation,https://www.ualberta.ca/en/undergraduate-programs/bilingual-bachelor-of-commerce-entrepreneuriat-et-entreprise-familiale.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Entrepreneurship and Innovation,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-commerce-entrepreneurship-and-innovation.html,General / Major,Business,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Environmental Earth Sciences,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-environmental-earth-sciences.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Environmental Economics and Policy,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-environmental-and-conservation-sciences-environmental-economics-and-policy.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Environmental Engineering,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-civil-engineering-environmental-engineering-environmental-engineering.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Environmental Science,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-environmental-science.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Environmental Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-in-environmental-studies-environmental-studies-ales.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Environmental Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-in-environmental-studies-environmental-studies-arts.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
Ethics and Global Studies (Interdisciplinary),https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-ethics-and-global-studies-interdisciplinary.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-02-25T17:14:19Z
