institution,program_name,credential,admission_type,source_url,notes_uncertain
MacEwan,Academic Upgrading,nan,,https://calendar.macewan.ca/programs/university-entrance/university-preparation/,
MacEwan,Accounting (Major),Bachelor of Commerce,,https://calendar.macewan.ca/programs/degree-programs/bcom-accounting/,
MacEwan,Accounting Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-accounting/,
MacEwan,Accounting Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-accounting/,
MacEwan,Accounting and Strategic Measurement,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/accounting-strategic-measurement/,
MacEwan,Acupuncture,nan,,https://calendar.macewan.ca/programs/certificates-diplomas/acupuncture/,
MacEwan,Alberta Foundation Program (AFP),nan,,https://calendar.macewan.ca/programs/university-entrance/foundation-alberta/,
MacEwan,Anthropology (Major/Minor/Honours),Bachelor of Arts,,https://calendar.macewan.ca/programs/degree-programs/ba-anthropology/,
MacEwan,Anthropology Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-anthropology/,
MacEwan,Applied Statistics (Major/Honours),Bachelor of Science,,https://calendar.macewan.ca/programs/degree-programs/bsc-applied-statistics/,
MacEwan,Arts and Cultural Management,nan,,https://calendar.macewan.ca/programs/min-babs-arts-cultural-management/,
MacEwan,Arts and Cultural Management (Major),Bachelor of Fine Arts,,https://calendar.macewan.ca/programs/degree-programs/bfa-arts-and-cultural-management/,
MacEwan,Asia Pacific Management,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/asia-pacific-management/,
MacEwan,Aviation Management (Major),Business Management Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/aviation-management/,
MacEwan,Bachelor of Arts Undeclared,Bachelor of Arts,,https://calendar.macewan.ca/programs/degree-programs/ba-undeclared/,
MacEwan,Bachelor of Commerce Undeclared,Bachelor of Commerce,,https://calendar.macewan.ca/programs/degree-programs/bcom-undeclared/,
MacEwan,Bachelor of Physical Education Transfer,nan,,https://calendar.macewan.ca/programs/university-transfer/bpe-physical-education-transfer/,
MacEwan,Bachelor of Public Safety and Justice,Bachelor of Public Safety and Justice,,https://calendar.macewan.ca/programs/degree-programs/bpsj-public-safety-and-justice/,
MacEwan,Bachelor of Science Undeclared,Bachelor of Science,,https://calendar.macewan.ca/programs/degree-programs/bsc-undeclared/,
MacEwan,Behaviour Analysis,Post-Baccalaureate Certificate,,https://calendar.macewan.ca/programs/post-baccalaureate-certificate-programs/behaviour-analysis/,
MacEwan,Behavioural Interventions Certificate,Certificate of Achievement,,https://calendar.macewan.ca/programs/certificates-achievement/behavioural-intervention/,
MacEwan,Biological Sciences,Bachelor of Science,,https://calendar.macewan.ca/programs/degree-programs/bsc-biological-sciences/,
MacEwan,Bridge to Canadian Nursing,Certificate,,https://calendar.macewan.ca/programs/certificates-diplomas/bridge-canadian-nursing/,
MacEwan,Business Intelligence Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-business-intelligence/,
MacEwan,Business Law Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-business-law/,
MacEwan,Business Management,Certificate,,https://calendar.macewan.ca/programs/certificates-diplomas/business-management-certificate/,
MacEwan,Business Management,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/business-management-diploma/,
MacEwan,Business Studies Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-business-studies/,
MacEwan,Chemistry (Major),Bachelor of Science,,https://calendar.macewan.ca/programs/degree-programs/bsc-chemistry/,
MacEwan,Child and Youth Care,Bachelor of Child and Youth Care,,https://calendar.macewan.ca/programs/degree-programs/bcyc-child-youth-care/,
MacEwan,"Childhood, Youth, and Family Studies Minor",Minor,,https://calendar.macewan.ca/programs/degree-programs/childhood-youth-family-studies/,
MacEwan,Classics Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-classics/,
MacEwan,Community Justice and Corrections,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/community-justice-and-corrections,
MacEwan,Community Justice and Corrections,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/community-justice-and-corrections/,
MacEwan,Composition Major – Bachelor of Music,Bachelor,,https://calendar.macewan.ca/programs/degree-programs/bmus-composition/,
MacEwan,Computer Science (Major),Bachelor of Science,,https://calendar.macewan.ca/programs/degree-programs/bsc-computer-science/,
MacEwan,Creative Writing Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-creative-writing/,
MacEwan,Cybersecurity Studies Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-cybersecurity-studies/,
MacEwan,Cybersecurity Studies Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-cybersecurity-studies/,
MacEwan,Cybersecurity Studies Minor,Minor,,https://calendar.macewan.ca/programs/min-bpsj-cybersecurity-studies/,
MacEwan,Data Science (Major),Bachelor of Science,,https://calendar.macewan.ca/programs/degree-programs/bsc-data-science/,
MacEwan,Design,Bachelor of Design,,https://calendar.macewan.ca/programs/degree-programs/bdes-design/,
MacEwan,Digital Experience Design,Post-Diploma Certificate,,https://calendar.macewan.ca/programs/post-diploma-certificate-programs/digital-experience-design/,
MacEwan,Digital Experience Design,nan,,https://calendar.macewan.ca/programs/min-babs-digital-experience-design/,
MacEwan,Digital Experience Design (Major),Bachelor of Design,,https://calendar.macewan.ca/programs/degree-programs/bdes-digital-experience-design/,
MacEwan,Digital Experience Design Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-digital-experience-design/,
MacEwan,Digital Experience Design Minor,Minor,,https://calendar.macewan.ca/programs/min-bcs-digital-experience-design/,
MacEwan,Early Childhood Curriculum Studies (BECCS),Bachelor of Early Childhood Curriculum Studies,,https://calendar.macewan.ca/programs/degree-programs/beccs-early-childhood-curriculum-studies/,
MacEwan,Early Learning and Child Care,nan,,https://calendar.macewan.ca/programs/certificates-diplomas/early-learning-child-care/,
MacEwan,Earth and Planetary Sciences Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-earth-planetary-sciences/,
MacEwan,Economics (Major/Minor/Honours),Bachelor of Arts,,https://calendar.macewan.ca/programs/degree-programs/ba-economics/,
MacEwan,Economics Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-economics/,
MacEwan,Educational Assistant,Certificate,,https://calendar.macewan.ca/programs/certificates-diplomas/educational-assistant/,
MacEwan,Emergency Communications and Response,Certificate,,https://calendar.macewan.ca/programs/certificates-diplomas/emergency-communications-response/,
MacEwan,English (Major/Minor/Honours),Bachelor of Arts,,https://calendar.macewan.ca/programs/degree-programs/ba-english/,
MacEwan,English as an Additional Language (EAL),nan,,https://calendar.macewan.ca/programs/university-entrance/eal/,
MacEwan,Environmental Sciences (Major),Bachelor of Science,,https://calendar.macewan.ca/programs/degree-programs/bsc-environmental-science/,
MacEwan,Environmental Sciences Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-environmental-sciences/,
MacEwan,Film Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-film/,
MacEwan,Film Minor,Minor,,https://calendar.macewan.ca/programs/min-bcs-film/,
MacEwan,Finance Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-finance/,
MacEwan,Finance Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-finance/,
MacEwan,Foundation Program International,nan,,https://calendar.macewan.ca/programs/university-entrance/foundation-international/,
MacEwan,French Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-french/,
MacEwan,French Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-french/,
MacEwan,Gender Studies Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-gender-studies/,
MacEwan,General (Major),Bachelor of Music,,https://calendar.macewan.ca/programs/degree-programs/bmus-general/,
MacEwan,Gerontology,Post-Diploma Certificate,,https://calendar.macewan.ca/programs/post-diploma-certificate-programs/gerontology/,
MacEwan,Graphic Design Minor,Minor,,https://calendar.macewan.ca/programs/min-bcs-graphic-design,
MacEwan,Graphic Design Minor,Minor,,https://calendar.macewan.ca/programs/min-bcs-graphic-design/,
MacEwan,Hearing Aid Practitioner,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/hearing-aid-practitioner/,
MacEwan,Hospice Palliative Care,Post-Diploma Certificate,,https://calendar.macewan.ca/programs/post-diploma-certificate-programs/hospice-palliative-care/,
MacEwan,Human Resources Management,Certificate and Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/human-resources-management/,
MacEwan,Human Resources Management (Major),Bachelor of Commerce,,https://calendar.macewan.ca/programs/degree-programs/bcom-human-resources-management/,
MacEwan,Human Resources Management Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-human-resource-management/,
MacEwan,Human Resources Management Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-human-resources-management/,
